index,mos,im_loc
77,65.8679107,voc_emotic_ava/AVA__151838.jpg
78,74.65929555,voc_emotic_ava/EMOTIC__COCO_train2014_000000060737.jpg
79,69.21727375,voc_emotic_ava/JPEGImages__2008_006211.jpg
80,73.50686809,voc_emotic_ava/AVA__46164.jpg
81,73.59402556,voc_emotic_ava/AVA__442991.jpg
82,74.23154564,voc_emotic_ava/JPEGImages__2008_000234.jpg
83,67.66431098,voc_emotic_ava/VOC2012__2008_005401.jpg
84,62.49364848,voc_emotic_ava/EMOTIC__COCO_val2014_000000480624.jpg
85,62.02025196,voc_emotic_ava/EMOTIC__COCO_train2014_000000425038.jpg
86,73.10929458,voc_emotic_ava/EMOTIC__COCO_train2014_000000047972.jpg
87,67.07220253,voc_emotic_ava/AVA__69660.jpg
88,70.96720642,voc_emotic_ava/VOC2012__2008_002729.jpg
89,68.76318768,voc_emotic_ava/VOC2012__2009_003316.jpg
90,76.53531568,voc_emotic_ava/EMOTIC__COCO_train2014_000000562517.jpg
91,71.10849353,voc_emotic_ava/EMOTIC__COCO_val2014_000000031482.jpg
92,73.09948806,voc_emotic_ava/AVA__74271.jpg
93,73.02566376,voc_emotic_ava/AVA__477189.jpg
94,75.05808608,voc_emotic_ava/JPEGImages__2008_008365.jpg
95,78.12639534,voc_emotic_ava/AVA__824549.jpg
96,65.26253263,voc_emotic_ava/AVA__359690.jpg
97,71.8289718,voc_emotic_ava/AVA__23041.jpg
98,77.03576172,voc_emotic_ava/EMOTIC__COCO_train2014_000000073648.jpg
99,77.22730646,voc_emotic_ava/JPEGImages__2012_000623.jpg
100,72.20872992,voc_emotic_ava/AVA__303814.jpg
101,74.69201968,voc_emotic_ava/JPEGImages__2008_004126.jpg
102,79.99886059,blur_dataset/motion0146.jpg
103,65.06424358,voc_emotic_ava/AVA__59242.jpg
104,76.00297377,voc_emotic_ava/VOC2012__2008_000300.jpg
105,69.30611055,voc_emotic_ava/AVA__696428.jpg
106,68.31605497,voc_emotic_ava/EMOTIC__COCO_train2014_000000564627.jpg
107,59.22626708,voc_emotic_ava/VOC2012__2012_000662.jpg
108,75.54565242,voc_emotic_ava/VOC2012__2011_005122.jpg
109,72.79954475,voc_emotic_ava/EMOTIC__COCO_train2014_000000526597.jpg
110,79.0802393,voc_emotic_ava/EMOTIC__COCO_train2014_000000079305.jpg
111,72.24699453,voc_emotic_ava/JPEGImages__2011_001158.jpg
112,74.82514648,voc_emotic_ava/EMOTIC__COCO_train2014_000000325837.jpg
113,75.44827986,voc_emotic_ava/VOC2012__2010_005789.jpg
114,69.47152173,voc_emotic_ava/AVA__547192.jpg
115,70.11633412,voc_emotic_ava/VOC2012__2007_005114.jpg
116,70.91221254,voc_emotic_ava/EMOTIC__COCO_val2014_000000114183.jpg
117,78.91534979,voc_emotic_ava/JPEGImages__2008_003749.jpg
118,75.37883282,voc_emotic_ava/EMOTIC__COCO_train2014_000000568389.jpg
119,64.85253387,voc_emotic_ava/EMOTIC__COCO_train2014_000000573640.jpg
120,76.44052692,voc_emotic_ava/EMOTIC__COCO_val2014_000000219737.jpg
121,72.06770691,voc_emotic_ava/VOC2012__2009_002727.jpg
122,72.51712266,voc_emotic_ava/EMOTIC__COCO_train2014_000000255992.jpg
123,73.50791167,voc_emotic_ava/JPEGImages__2008_005817.jpg
124,69.80938733,voc_emotic_ava/EMOTIC__COCO_train2014_000000399971.jpg
125,71.49482651,voc_emotic_ava/EMOTIC__COCO_train2014_000000465058.jpg
126,76.40489503,voc_emotic_ava/JPEGImages__2012_000029.jpg
127,65.7105499,voc_emotic_ava/JPEGImages__2010_005756.jpg
128,72.36363004,voc_emotic_ava/VOC2012__2009_000933.jpg
129,72.11664359,voc_emotic_ava/JPEGImages__2010_004314.jpg
130,68.38790602,blur_dataset/motion0250.jpg
131,48.69143262,voc_emotic_ava/JPEGImages__2011_006363.jpg
132,72.72100931,voc_emotic_ava/JPEGImages__2010_003859.jpg
133,74.56488227,voc_emotic_ava/EMOTIC__COCO_train2014_000000434767.jpg
134,73.03276435,voc_emotic_ava/EMOTIC__COCO_train2014_000000468461.jpg
135,76.98068086,voc_emotic_ava/VOC2012__2010_005459.jpg
136,76.10831926,voc_emotic_ava/VOC2012__2011_006312.jpg
137,71.587928,voc_emotic_ava/AVA__230143.jpg
138,74.92812187,voc_emotic_ava/JPEGImages__2012_001440.jpg
139,73.91987999,voc_emotic_ava/VOC2012__2009_001006.jpg
140,84.93654126,voc_emotic_ava/AVA__416868.jpg
141,71.89508797,voc_emotic_ava/VOC2012__2009_001557.jpg
142,76.40829269,voc_emotic_ava/EMOTIC__COCO_train2014_000000259960.jpg
143,73.6781643,voc_emotic_ava/EMOTIC__COCO_train2014_000000187642.jpg
144,73.85623077,voc_emotic_ava/AVA__2331.jpg
145,75.54470747,voc_emotic_ava/JPEGImages__2011_002110.jpg
146,71.61764478,voc_emotic_ava/EMOTIC__COCO_train2014_000000542678.jpg
147,64.03814713,voc_emotic_ava/EMOTIC__COCO_val2014_000000570709.jpg
148,73.88737547,voc_emotic_ava/JPEGImages__2008_002484.jpg
149,77.14846368,voc_emotic_ava/JPEGImages__2011_005023.jpg
150,69.11902323,voc_emotic_ava/VOC2012__2010_004687.jpg
151,74.23712855,voc_emotic_ava/VOC2012__2012_001260.jpg
152,72.78344279,voc_emotic_ava/AVA__331988.jpg
153,72.74484152,voc_emotic_ava/EMOTIC__COCO_train2014_000000493131.jpg
154,73.85687199,voc_emotic_ava/AVA__625052.jpg
155,79.58661094,voc_emotic_ava/AVA__230315.jpg
156,72.25953932,voc_emotic_ava/JPEGImages__2009_001612.jpg
157,47.98680866,voc_emotic_ava/AVA__775831.jpg
158,72.40642065,voc_emotic_ava/EMOTIC__COCO_train2014_000000549256.jpg
159,74.61009597,voc_emotic_ava/VOC2012__2008_002516.jpg
160,72.62315189,voc_emotic_ava/VOC2012__2009_002255.jpg
161,74.70193796,voc_emotic_ava/JPEGImages__2008_000811.jpg
162,77.10957616,voc_emotic_ava/AVA__139514.jpg
163,74.88015733,voc_emotic_ava/JPEGImages__2011_003714.jpg
164,72.22879769,voc_emotic_ava/EMOTIC__COCO_val2014_000000249838.jpg
165,71.97836072,voc_emotic_ava/JPEGImages__2008_005504.jpg
166,74.04294312,voc_emotic_ava/VOC2012__2009_003461.jpg
167,68.02619378,voc_emotic_ava/JPEGImages__2010_000216.jpg
168,69.39634889,voc_emotic_ava/JPEGImages__2009_005126.jpg
169,71.7693978,voc_emotic_ava/EMOTIC__COCO_val2014_000000200959.jpg
170,76.04488774,voc_emotic_ava/AVA__102506.jpg
171,75.67488034,voc_emotic_ava/EMOTIC__COCO_train2014_000000327258.jpg
172,77.3329713,voc_emotic_ava/AVA__18627.jpg
173,71.83748692,voc_emotic_ava/VOC2012__2011_001848.jpg
174,68.74368702,voc_emotic_ava/AVA__83493.jpg
175,71.46565254,voc_emotic_ava/EMOTIC__COCO_train2014_000000471927.jpg
176,73.0707972,voc_emotic_ava/EMOTIC__COCO_train2014_000000116286.jpg
177,77.83581108,voc_emotic_ava/VOC2012__2010_003234.jpg
178,73.84565741,voc_emotic_ava/EMOTIC__COCO_train2014_000000349698.jpg
179,57.28159939,voc_emotic_ava/JPEGImages__2010_000889.jpg
180,74.6463379,voc_emotic_ava/VOC2012__2012_001900.jpg
181,53.67677166,voc_emotic_ava/JPEGImages__2008_000952.jpg
182,80.02616337,voc_emotic_ava/AVA__268428.jpg
183,77.52304937,voc_emotic_ava/VOC2012__2009_003510.jpg
184,70.82331709,voc_emotic_ava/VOC2012__2008_004897.jpg
185,69.83047953,voc_emotic_ava/JPEGImages__2010_006679.jpg
186,73.36281036,voc_emotic_ava/AVA__678384.jpg
187,71.66212742,voc_emotic_ava/VOC2012__2008_002228.jpg
188,76.13820477,voc_emotic_ava/EMOTIC__COCO_train2014_000000470915.jpg
189,77.99380637,voc_emotic_ava/EMOTIC__COCO_val2014_000000020177.jpg
190,74.85702228,voc_emotic_ava/VOC2012__2008_004244.jpg
191,76.27224921,voc_emotic_ava/VOC2012__2009_002892.jpg
192,73.44457218,voc_emotic_ava/JPEGImages__2011_003440.jpg
193,77.7316509,voc_emotic_ava/AVA__301689.jpg
194,73.78889859,voc_emotic_ava/VOC2012__2010_003703.jpg
195,73.48942634,voc_emotic_ava/VOC2012__2008_001951.jpg
196,74.32657483,voc_emotic_ava/JPEGImages__2011_005963.jpg
197,73.68175587,voc_emotic_ava/EMOTIC__COCO_train2014_000000335524.jpg
198,64.20874805,voc_emotic_ava/AVA__161184.jpg
199,75.25472784,voc_emotic_ava/EMOTIC__COCO_train2014_000000348595.jpg
200,74.24269253,voc_emotic_ava/VOC2012__2012_003519.jpg
201,71.74700445,voc_emotic_ava/EMOTIC__COCO_train2014_000000241422.jpg
202,71.89306349,voc_emotic_ava/VOC2012__2011_005410.jpg
203,81.34044962,voc_emotic_ava/EMOTIC__COCO_train2014_000000340459.jpg
204,66.28802496,voc_emotic_ava/AVA__436407.jpg
205,74.48375473,voc_emotic_ava/AVA__724149.jpg
206,71.04470499,voc_emotic_ava/AVA__2184.jpg
207,64.94685972,voc_emotic_ava/JPEGImages__2012_002412.jpg
208,74.55766033,voc_emotic_ava/EMOTIC__COCO_train2014_000000350449.jpg
209,70.03661211,voc_emotic_ava/JPEGImages__2008_001709.jpg
210,71.47333556,voc_emotic_ava/EMOTIC__COCO_train2014_000000059394.jpg
211,75.52884239,voc_emotic_ava/EMOTIC__COCO_val2014_000000483234.jpg
212,66.44697379,voc_emotic_ava/EMOTIC__COCO_val2014_000000094427.jpg
213,67.21782968,voc_emotic_ava/AVA__112197.jpg
214,72.36814649,voc_emotic_ava/EMOTIC__COCO_train2014_000000405980.jpg
215,76.34455905,voc_emotic_ava/JPEGImages__2010_006012.jpg
216,50.20376681,blur_dataset/out_of_focus0031.jpg
217,70.67807825,voc_emotic_ava/AVA__390351.jpg
218,74.64171779,voc_emotic_ava/JPEGImages__2008_005197.jpg
219,72.42411482,voc_emotic_ava/JPEGImages__2012_003985.jpg
220,72.16465406,voc_emotic_ava/VOC2012__2008_006443.jpg
221,70.78608499,voc_emotic_ava/VOC2012__2010_004566.jpg
222,65.97312007,voc_emotic_ava/JPEGImages__2012_000641.jpg
223,75.37559817,voc_emotic_ava/VOC2012__2008_004446.jpg
224,76.70784662,voc_emotic_ava/JPEGImages__2008_004365.jpg
225,74.53334426,voc_emotic_ava/EMOTIC__COCO_train2014_000000523164.jpg
226,79.03198637,voc_emotic_ava/AVA__20394.jpg
227,71.73845332,voc_emotic_ava/EMOTIC__COCO_train2014_000000417571.jpg
228,72.12515839,voc_emotic_ava/JPEGImages__2008_002026.jpg
229,71.63411246,voc_emotic_ava/AVA__338105.jpg
230,64.50561538,voc_emotic_ava/EMOTIC__COCO_train2014_000000223928.jpg
231,66.76850823,voc_emotic_ava/AVA__262645.jpg
232,72.26588139,voc_emotic_ava/JPEGImages__2009_001133.jpg
233,73.10299301,voc_emotic_ava/VOC2012__2009_001146.jpg
234,68.48525196,voc_emotic_ava/VOC2012__2009_001450.jpg
235,72.1848429,voc_emotic_ava/VOC2012__2011_002665.jpg
236,67.18449954,voc_emotic_ava/AVA__13119.jpg
237,65.41563443,voc_emotic_ava/JPEGImages__2011_000806.jpg
238,77.92888618,voc_emotic_ava/VOC2012__2008_001586.jpg
239,62.17195615,voc_emotic_ava/VOC2012__2011_002990.jpg
240,75.7610064,voc_emotic_ava/JPEGImages__2008_003043.jpg
241,69.99481744,voc_emotic_ava/JPEGImages__2011_000675.jpg
242,69.27674374,voc_emotic_ava/JPEGImages__2009_005288.jpg
243,73.56011608,voc_emotic_ava/JPEGImages__2010_001699.jpg
244,78.19861787,voc_emotic_ava/EMOTIC__COCO_train2014_000000150372.jpg
245,69.97500622,voc_emotic_ava/EMOTIC__COCO_train2014_000000278171.jpg
246,70.30529489,voc_emotic_ava/EMOTIC__COCO_train2014_000000436440.jpg
247,72.74868696,voc_emotic_ava/VOC2012__2011_004940.jpg
248,61.48918984,voc_emotic_ava/VOC2012__2011_006453.jpg
249,72.56971975,voc_emotic_ava/VOC2012__2010_005416.jpg
250,76.06954824,voc_emotic_ava/VOC2012__2007_007769.jpg
251,81.34781288,voc_emotic_ava/VOC2012__2011_000568.jpg
252,71.41944155,voc_emotic_ava/JPEGImages__2010_005134.jpg
253,76.83081557,voc_emotic_ava/EMOTIC__COCO_train2014_000000293592.jpg
254,76.10500995,voc_emotic_ava/AVA__744396.jpg
255,72.42824342,voc_emotic_ava/EMOTIC__sun_azqahznzhnkqwmej.jpg
256,69.22345677,voc_emotic_ava/EMOTIC__COCO_train2014_000000132495.jpg
257,76.59875194,voc_emotic_ava/JPEGImages__2010_004714.jpg
258,66.94700913,voc_emotic_ava/AVA__539401.jpg
259,68.25035116,voc_emotic_ava/JPEGImages__2008_005337.jpg
260,73.55276554,voc_emotic_ava/JPEGImages__2012_000329.jpg
261,77.41038693,voc_emotic_ava/EMOTIC__COCO_train2014_000000233242.jpg
262,71.72763683,voc_emotic_ava/VOC2012__2008_000649.jpg
263,66.03281517,voc_emotic_ava/AVA__245266.jpg
264,73.25029827,voc_emotic_ava/AVA__606609.jpg
265,67.81552384,voc_emotic_ava/AVA__366150.jpg
266,78.55360223,voc_emotic_ava/VOC2012__2012_001142.jpg
267,73.88382493,voc_emotic_ava/JPEGImages__2008_000141.jpg
268,74.54790123,voc_emotic_ava/VOC2012__2010_000039.jpg
269,68.81156493,voc_emotic_ava/VOC2012__2009_003053.jpg
270,70.45972131,voc_emotic_ava/EMOTIC__COCO_train2014_000000358300.jpg
271,74.61495884,voc_emotic_ava/VOC2012__2011_004726.jpg
272,67.56906405,voc_emotic_ava/JPEGImages__2008_006520.jpg
273,68.64398447,voc_emotic_ava/EMOTIC__COCO_train2014_000000150435.jpg
274,81.28108727,voc_emotic_ava/VOC2012__2008_001762.jpg
275,72.41921942,voc_emotic_ava/JPEGImages__2011_004980.jpg
276,71.39762869,voc_emotic_ava/EMOTIC__COCO_val2014_000000102848.jpg
277,52.51907342,voc_emotic_ava/EMOTIC__COCO_train2014_000000418988.jpg
278,51.43156208,voc_emotic_ava/JPEGImages__2008_004100.jpg
279,72.7904317,voc_emotic_ava/VOC2012__2011_003173.jpg
280,73.86086463,voc_emotic_ava/VOC2012__2011_000303.jpg
281,72.99356061,voc_emotic_ava/EMOTIC__sun_aijojbabpoxzlosy.jpg
282,76.00746576,voc_emotic_ava/VOC2012__2010_003381.jpg
283,76.72967378,voc_emotic_ava/VOC2012__2011_006122.jpg
284,71.71153285,voc_emotic_ava/EMOTIC__COCO_train2014_000000185991.jpg
285,67.19436014,voc_emotic_ava/EMOTIC__COCO_train2014_000000571644.jpg
286,74.60192354,voc_emotic_ava/JPEGImages__2012_004061.jpg
287,68.02172993,voc_emotic_ava/EMOTIC__COCO_train2014_000000581326.jpg
288,74.98275415,voc_emotic_ava/JPEGImages__2010_000622.jpg
289,78.90183548,voc_emotic_ava/EMOTIC__COCO_train2014_000000341905.jpg
290,70.93679471,voc_emotic_ava/EMOTIC__COCO_val2014_000000559685.jpg
291,72.41282945,voc_emotic_ava/EMOTIC__COCO_val2014_000000192128.jpg
292,74.16753954,voc_emotic_ava/JPEGImages__2008_006870.jpg
293,73.56272097,voc_emotic_ava/VOC2012__2009_002636.jpg
294,69.42352907,voc_emotic_ava/EMOTIC__3n9ttet6qd0576iwdf.jpg
295,73.86751003,voc_emotic_ava/EMOTIC__COCO_train2014_000000400828.jpg
296,67.9942707,voc_emotic_ava/JPEGImages__2008_004291.jpg
297,74.79482386,voc_emotic_ava/JPEGImages__2008_003405.jpg
298,75.07886576,voc_emotic_ava/JPEGImages__2010_003629.jpg
299,65.29100515,voc_emotic_ava/VOC2012__2012_002543.jpg
300,74.29762333,voc_emotic_ava/VOC2012__2011_001120.jpg
301,74.69572226,voc_emotic_ava/AVA__621172.jpg
302,71.80929165,voc_emotic_ava/VOC2012__2010_002574.jpg
303,79.7707908,voc_emotic_ava/JPEGImages__2011_005413.jpg
304,71.57007982,voc_emotic_ava/VOC2012__2009_004410.jpg
305,68.71447596,voc_emotic_ava/VOC2012__2008_006507.jpg
306,74.83285703,voc_emotic_ava/EMOTIC__COCO_val2014_000000208623.jpg
307,73.5140406,voc_emotic_ava/AVA__120125.jpg
308,72.26317869,voc_emotic_ava/AVA__514533.jpg
309,75.14219939,voc_emotic_ava/VOC2012__2010_003402.jpg
310,70.15479687,voc_emotic_ava/VOC2012__2011_003003.jpg
311,84.50021275,voc_emotic_ava/JPEGImages__2010_004428.jpg
312,78.60031889,voc_emotic_ava/VOC2012__2008_008240.jpg
313,70.17145428,voc_emotic_ava/VOC2012__2008_007830.jpg
314,66.39219096,voc_emotic_ava/EMOTIC__COCO_train2014_000000532577.jpg
315,69.67300568,voc_emotic_ava/VOC2012__2010_004528.jpg
316,74.2436832,voc_emotic_ava/VOC2012__2012_000542.jpg
317,74.0549946,voc_emotic_ava/JPEGImages__2012_003067.jpg
318,75.17278825,voc_emotic_ava/JPEGImages__2011_001259.jpg
319,81.04374048,voc_emotic_ava/EMOTIC__COCO_train2014_000000006692.jpg
320,73.06970707,voc_emotic_ava/JPEGImages__2009_002556.jpg
321,66.15418232,voc_emotic_ava/AVA__146046.jpg
322,73.63360652,voc_emotic_ava/VOC2012__2008_007688.jpg
323,72.21247922,voc_emotic_ava/EMOTIC__COCO_train2014_000000163553.jpg
324,67.36912446,voc_emotic_ava/JPEGImages__2009_003660.jpg
325,73.53983508,voc_emotic_ava/AVA__96593.jpg
326,74.04483251,voc_emotic_ava/JPEGImages__2010_001366.jpg
327,75.89376274,voc_emotic_ava/AVA__466116.jpg
328,70.52178906,voc_emotic_ava/JPEGImages__2008_002148.jpg
329,72.34626743,voc_emotic_ava/AVA__473461.jpg
330,72.94880721,voc_emotic_ava/EMOTIC__COCO_train2014_000000307148.jpg
331,73.42131564,voc_emotic_ava/EMOTIC__COCO_train2014_000000412631.jpg
332,72.82532862,voc_emotic_ava/EMOTIC__COCO_val2014_000000115772.jpg
333,72.73795748,voc_emotic_ava/EMOTIC__COCO_train2014_000000024169.jpg
334,78.17069224,voc_emotic_ava/EMOTIC__COCO_train2014_000000014070.jpg
335,71.06336004,voc_emotic_ava/EMOTIC__3t46qrzmbuvkk42mwh.jpg
336,71.89183616,voc_emotic_ava/VOC2012__2010_003404.jpg
337,74.88532122,voc_emotic_ava/EMOTIC__COCO_train2014_000000051735.jpg
338,68.18846944,voc_emotic_ava/JPEGImages__2008_001791.jpg
339,65.76120901,voc_emotic_ava/VOC2012__2008_000182.jpg
340,64.94371267,voc_emotic_ava/EMOTIC__COCO_train2014_000000239928.jpg
341,74.26901211,voc_emotic_ava/VOC2012__2011_006490.jpg
342,75.27159407,voc_emotic_ava/JPEGImages__2012_004289.jpg
343,73.93583312,voc_emotic_ava/EMOTIC__COCO_train2014_000000052902.jpg
344,74.23573432,voc_emotic_ava/JPEGImages__2008_005816.jpg
345,51.84588793,voc_emotic_ava/EMOTIC__COCO_val2014_000000484060.jpg
346,72.36862066,voc_emotic_ava/VOC2012__2009_003207.jpg
347,68.65858937,voc_emotic_ava/EMOTIC__COCO_train2014_000000554665.jpg
348,67.33817644,voc_emotic_ava/JPEGImages__2009_004917.jpg
349,67.83115762,voc_emotic_ava/JPEGImages__2008_006337.jpg
350,74.9359858,voc_emotic_ava/EMOTIC__COCO_train2014_000000075708.jpg
351,77.65308297,voc_emotic_ava/JPEGImages__2008_008002.jpg
352,77.29513264,voc_emotic_ava/VOC2012__2009_000085.jpg
353,74.66208694,voc_emotic_ava/VOC2012__2010_000410.jpg
354,61.86922956,voc_emotic_ava/VOC2012__2011_005516.jpg
355,76.09522662,blur_dataset/out_of_focus0509.jpg
356,76.30676584,voc_emotic_ava/EMOTIC__COCO_train2014_000000046592.jpg
357,76.01899633,voc_emotic_ava/VOC2012__2009_005024.jpg
358,73.58032814,voc_emotic_ava/VOC2012__2011_005213.jpg
359,75.87256858,voc_emotic_ava/JPEGImages__2011_005654.jpg
360,73.85395985,voc_emotic_ava/AVA__165496.jpg
361,71.32622671,voc_emotic_ava/JPEGImages__2008_002350.jpg
362,74.87804952,voc_emotic_ava/EMOTIC__COCO_train2014_000000562067.jpg
363,73.74632286,voc_emotic_ava/AVA__120046.jpg
364,71.24989954,voc_emotic_ava/EMOTIC__COCO_val2014_000000019157.jpg
365,74.97389798,voc_emotic_ava/VOC2012__2010_004099.jpg
366,71.91040604,voc_emotic_ava/EMOTIC__COCO_val2014_000000188752.jpg
367,54.24413932,voc_emotic_ava/EMOTIC__sun_albeqsasxsjewevq.jpg
368,74.80549091,voc_emotic_ava/AVA__312053.jpg
369,79.29388913,voc_emotic_ava/JPEGImages__2010_002391.jpg
370,74.39479312,voc_emotic_ava/AVA__145335.jpg
371,75.15666355,voc_emotic_ava/VOC2012__2008_007680.jpg
372,75.04240656,voc_emotic_ava/JPEGImages__2008_003589.jpg
373,67.71229214,voc_emotic_ava/AVA__74402.jpg
374,71.76980422,voc_emotic_ava/AVA__760115.jpg
375,66.22597289,voc_emotic_ava/AVA__141292.jpg
376,71.57883165,voc_emotic_ava/EMOTIC__COCO_train2014_000000435076.jpg
377,67.22837461,voc_emotic_ava/VOC2012__2008_003728.jpg
378,73.42862555,voc_emotic_ava/JPEGImages__2009_004095.jpg
379,76.46380186,voc_emotic_ava/AVA__9714.jpg
380,70.26244939,voc_emotic_ava/JPEGImages__2011_005259.jpg
381,74.05938363,voc_emotic_ava/EMOTIC__COCO_val2014_000000044952.jpg
382,75.35303966,voc_emotic_ava/JPEGImages__2008_008748.jpg
383,66.9292918,voc_emotic_ava/JPEGImages__2012_000524.jpg
384,80.68654501,voc_emotic_ava/AVA__173431.jpg
385,69.36847411,voc_emotic_ava/JPEGImages__2010_000602.jpg
386,72.4591279,voc_emotic_ava/AVA__420726.jpg
387,74.20045683,voc_emotic_ava/VOC2012__2008_000458.jpg
388,69.60420396,voc_emotic_ava/VOC2012__2008_006553.jpg
389,75.20067905,voc_emotic_ava/VOC2012__2011_001554.jpg
390,78.67745773,voc_emotic_ava/JPEGImages__2010_001944.jpg
391,73.52619009,voc_emotic_ava/EMOTIC__COCO_train2014_000000383786.jpg
